"No.","Time","Source","Destination","Protocol","Length","Info"
"5728","54.964401","192.168.1.26","192.168.1.12","HTTP","147","HEAD /CastellettoTDB.mp4 HTTP/1.1 "
"5749","55.000890","192.168.1.26","192.168.1.12","HTTP","144","HEAD /Castle-Hill.mp4 HTTP/1.1 "
"5761","55.028485","192.168.1.26","192.168.1.12","HTTP","146","HEAD /Castle-Island.mp4 HTTP/1.1 "
"5780","55.059914","192.168.1.26","192.168.1.12","HTTP","148","HEAD /Castle-Mountain.mp4 HTTP/1.1 "
"5802","55.188786","192.168.1.26","192.168.1.12","HTTP","147","HEAD /Catoctin-Ridge.mp4 HTTP/1.1 "
"5814","55.222798","192.168.1.26","192.168.1.12","HTTP","150","HEAD /Cattai-Creek-Loop.mp4 HTTP/1.1 "
"5825","55.255451","192.168.1.26","192.168.1.12","HTTP","176","HEAD /Cornwall-Coast-Ride-Cawsand-to-Seaton-Beach.mp4 HTTP/1.1 "
"5836","55.279929","192.168.1.26","192.168.1.12","HTTP","177","HEAD /Cederberg-Circuit-Algeria-To-Clanwilliam-Dam.mp4 HTTP/1.1 "
"5846","55.307832","192.168.1.26","192.168.1.12","HTTP","152","HEAD /Cederberg-Mountains.mp4 HTTP/1.1 "
"5862","55.330860","192.168.1.26","192.168.1.12","HTTP","148","HEAD /centennial-park.mp4 HTTP/1.1 "
"5874","55.357065","192.168.1.26","192.168.1.12","HTTP","151","HEAD /Cernadoi-to-Arabba.mp4 HTTP/1.1 "
"5886","55.379908","192.168.1.26","192.168.1.12","HTTP","156","HEAD /cernobbio-to-cadenabbia.mp4 HTTP/1.1 "
"5898","55.401766","192.168.1.26","192.168.1.12","HTTP","157","HEAD /cernobbio-to-lake-lugano.mp4 HTTP/1.1 "
"5912","55.422471","192.168.1.26","192.168.1.12","HTTP","140","HEAD /Chapman.mp4 HTTP/1.1 "
"5924","55.441618","192.168.1.26","192.168.1.12","HTTP","167","HEAD /Chapman-Peak-to-Seapoint-Promenade.mp4 HTTP/1.1 "
"5938","55.466203","192.168.1.26","192.168.1.12","HTTP","146","HEAD /Charles-River.mp4 HTTP/1.1 "
"5950","55.483195","192.168.1.26","192.168.1.12","HTTP","150","HEAD /green-hill-public.mp4 HTTP/1.1 "
"5961","55.503890","192.168.1.26","192.168.1.12","HTTP","154","HEAD /Chatsworth-and-Beeley.mp4 HTTP/1.1 "
"5974","55.527897","192.168.1.26","192.168.1.12","HTTP","157","HEAD /East-Berkshire-Lanes-One.mp4 HTTP/1.1 "
"5986","55.549303","192.168.1.26","192.168.1.12","HTTP","173","HEAD /Heading-Cheddar-Gorge-Somerset-Ascending.mp4 HTTP/1.1 "
"5997","55.572554","192.168.1.26","192.168.1.12","HTTP","146","HEAD /chequers-mate.mp4 HTTP/1.1 "
"6009","55.591817","192.168.1.26","192.168.1.12","HTTP","144","HEAD /chicago-606.mp4 HTTP/1.1 "
"6021","55.619119","192.168.1.26","192.168.1.12","HTTP","154","HEAD /chief-mountain-edited.mp4 HTTP/1.1 "
"6032","55.643749","192.168.1.26","192.168.1.12","HTTP","166","HEAD /Chilly-Ride-Up-Glacier-Basin-Prag.mp4 HTTP/1.1 "
"6045","55.672020","192.168.1.26","192.168.1.12","HTTP","156","HEAD /Chilterns-Villages-2020.mp4 HTTP/1.1 "
"6056","55.690422","192.168.1.26","192.168.1.12","HTTP","148","HEAD /chinnor-hill-19.mp4 HTTP/1.1 "
"6069","55.721194","192.168.1.26","192.168.1.12","HTTP","138","HEAD /CCW-4.mp4 HTTP/1.1 "
"6080","55.746121","192.168.1.26","192.168.1.12","HTTP","143","HEAD /Chum-Creek.mp4 HTTP/1.1 "
"6093","55.777390","192.168.1.26","192.168.1.12","HTTP","146","HEAD /Cinta-Costera.mp4 HTTP/1.1 "
"6105","55.796848","192.168.1.26","192.168.1.12","HTTP","152","HEAD /Cirque-de-Troumouse.mp4 HTTP/1.1 "
